나이,계약유형,이번달_주당방문횟수,총_이용개월수,상대_방문공백,일평균_운동시간,주_이용_시간대_혼잡도,PT_가입여부,그룹수업_참여,최근한달_부상경험,서비스불만_환경불편,서비스불만_비매너회원,기구불만_기구부족,기구불만_기구상태불만,직원불만_불친절,직원불만_전문성부족,가격불만,이탈
41,6,3,10,1.21,101,혼잡,1,1,0,1,5,4,3,5,3,1,0
21,3,1,7,1.64,63,여유,0,0,0,3,4,2,4,4,4,3,0
35,12,2,18,0.68,79,보통,0,1,0,2,1,1,1,3,2,2,0
58,1,4,12,0.98,82,여유,0,0,0,3,4,4,3,5,4,4,0
35,12,0,13,1.46,33,여유,0,0,0,3,3,4,3,3,4,4,0
58,1,3,10,0.93,132,매우혼잡,1,0,0,3,4,4,4,3,1,1,0
23,12,1,4,4.77,94,여유,0,0,0,3,4,2,4,3,3,5,1
41,6,4,12,0.63,78,보통,0,1,0,4,4,3,4,5,4,5,0
19,12,2,1,0.52,106,혼잡,0,0,0,3,5,4,3,5,3,3,0
39,1,2,18,1.12,81,여유,1,1,0,2,4,3,4,3,4,3,0
42,12,4,8,0.18,67,보통,0,1,0,4,1,2,1,2,3,2,1
33,6,2,9,0.59,81,혼잡,0,0,0,5,4,3,3,3,2,2,0
36,1,3,9,0.52,90,혼잡,0,0,0,4,2,4,4,2,3,1,0
62,12,4,11,0.62,23,여유,0,0,0,4,2,1,3,5,3,3,0
67,3,0,3,1.54,37,혼잡,0,0,0,3,5,3,3,4,4,3,0
20,3,3,2,0.84,36,보통,0,0,0,4,3,4,4,4,4,3,0
46,1,1,5,2.39,36,여유,1,1,0,1,2,1,1,1,3,3,0
21,6,3,34,0.69,57,보통,1,0,0,3,5,3,5,3,4,3,0
26,6,2,21,0.71,26,보통,0,0,0,1,1,3,2,1,2,2,0
27,3,0,12,2.03,120,혼잡,0,0,0,4,5,3,3,4,4,5,1
31,6,1,9,0.98,85,여유,0,0,0,1,1,1,3,3,2,3,0
57,12,1,3,2.01,50,혼잡,0,0,0,4,4,3,1,4,3,1,1
36,6,4,1,0.17,52,혼잡,0,1,0,3,4,4,4,3,4,3,0
51,12,3,2,0.13,105,혼잡,0,0,0,4,5,4,4,4,4,3,0
24,1,5,35,0.59,56,혼잡,1,1,0,4,4,4,4,2,3,3,0
22,12,5,33,0.81,86,혼잡,1,1,0,4,4,3,3,3,5,4,0
37,12,2,9,0.75,38,보통,0,0,0,4,1,3,4,4,5,3,0
26,6,0,7,1.82,88,혼잡,0,0,0,4,4,4,4,3,3,3,0
31,1,2,10,0.41,51,혼잡,0,0,0,4,4,4,5,1,2,4,0
23,6,2,3,0.72,51,혼잡,1,0,1,4,5,4,4,4,5,4,1
27,3,3,6,0.41,103,보통,1,0,0,4,1,4,3,2,3,3,0
28,1,3,2,0.51,58,보통,0,0,0,3,1,1,2,2,2,1,0
41,6,3,3,0.24,44,보통,1,0,0,1,3,3,2,3,2,3,0
28,6,1,9,0.63,63,보통,0,1,0,5,3,2,3,3,2,4,0
47,12,1,21,2.2,100,혼잡,1,0,0,3,4,3,3,5,4,3,1
34,3,2,8,1.12,101,매우혼잡,0,1,0,4,5,5,4,5,5,5,1
42,12,2,11,0.16,67,여유,0,0,0,1,1,2,2,5,5,4,0
65,6,2,5,0.85,67,여유,0,0,0,3,3,2,3,4,3,2,0
58,6,1,2,1.39,77,여유,0,1,0,4,1,2,3,3,4,4,1
67,3,4,14,0.59,103,보통,1,1,0,3,3,4,3,4,4,3,0
50,12,3,3,1.5,58,여유,0,0,0,2,3,2,3,4,4,4,0
18,6,2,1,1.18,65,혼잡,0,0,0,4,3,4,4,3,4,3,0
25,3,3,15,0.6,51,여유,0,1,0,3,1,2,3,5,4,4,0
40,6,3,10,0.95,64,혼잡,0,1,0,4,3,4,5,4,3,2,0
34,3,0,2,2.27,87,매우혼잡,0,1,0,4,5,5,4,3,2,2,1
49,12,2,5,1.07,85,보통,0,1,1,4,4,4,5,5,5,5,0
24,12,3,2,0.41,115,혼잡,1,0,0,3,4,4,4,3,4,1,0
45,6,2,4,0.84,60,보통,1,0,0,1,2,3,1,4,3,3,0
38,3,2,8,0.92,117,여유,0,0,0,3,3,1,4,5,4,5,0
42,6,1,15,1.24,57,매우혼잡,0,0,0,4,4,3,2,2,4,4,1
31,3,2,2,0.37,57,여유,0,0,0,3,4,3,2,5,4,4,0
37,12,0,4,2.18,69,보통,0,1,0,4,5,5,4,4,5,3,1
22,6,1,8,1.09,41,여유,0,0,1,3,4,2,3,3,1,2,0
20,6,0,1,7.57,44,매우혼잡,0,0,0,5,4,4,4,4,4,2,1
23,1,2,9,0.58,64,보통,0,1,0,3,5,3,4,4,3,1,1
35,1,0,14,6.72,32,혼잡,0,0,0,4,5,3,4,4,4,3,1
37,3,2,3,1.35,84,혼잡,1,1,0,4,3,4,3,5,5,3,0
60,6,0,1,6.71,49,혼잡,0,0,1,4,4,3,3,1,3,4,1
21,6,1,2,0.81,60,여유,0,0,0,1,1,3,1,3,1,3,0
28,12,3,13,1.9,63,혼잡,0,1,0,3,3,2,3,4,4,1,1
35,12,3,2,0.32,102,보통,0,1,0,4,5,3,3,5,5,3,0
24,6,6,13,0.13,117,보통,1,1,0,4,5,3,4,4,4,3,0
32,1,3,2,0.97,68,보통,0,1,0,4,2,4,4,2,3,4,0
47,6,2,12,1.71,106,여유,0,0,0,2,4,1,2,3,2,5,0
29,12,3,1,2.02,91,보통,1,0,0,3,3,3,2,4,4,3,0
37,6,3,6,2.29,34,혼잡,1,0,1,5,5,4,4,4,4,5,0
40,6,1,15,2.25,73,혼잡,0,0,0,2,4,4,3,1,1,4,1
28,1,3,2,1.53,69,보통,1,1,0,3,3,4,3,3,4,3,0
69,3,2,38,1.01,88,여유,0,0,0,3,2,1,1,1,2,3,0
37,6,0,4,2.45,104,여유,0,0,0,4,3,3,4,3,4,3,1
43,12,2,5,0.86,49,여유,0,0,0,1,4,1,1,2,4,3,0
34,12,3,1,0.76,139,보통,0,1,0,1,1,3,2,4,3,1,0
22,12,0,3,4.82,32,혼잡,0,0,0,5,4,5,5,3,5,3,1
50,12,0,3,7.14,44,혼잡,0,0,1,4,2,3,3,3,1,2,1
29,6,2,2,0.84,43,혼잡,0,0,0,4,3,3,2,2,1,2,1
50,6,0,7,1.66,57,보통,0,0,0,4,1,4,4,4,4,3,0
35,3,0,1,5.63,33,보통,0,0,0,2,4,3,4,4,5,2,1
36,12,4,28,0.16,62,혼잡,1,1,0,3,4,4,4,4,3,3,0
70,6,0,15,1.38,60,보통,0,0,1,5,1,5,4,5,3,3,1
40,6,2,11,1.47,26,혼잡,0,0,0,4,1,4,2,4,3,4,0
35,12,1,4,2.44,75,보통,0,0,0,1,4,3,5,2,3,5,0
60,3,1,11,1.26,64,여유,0,0,0,4,3,1,3,4,3,2,0
21,6,0,3,3.83,40,혼잡,0,0,0,4,3,2,1,3,1,3,1
30,1,6,2,0.26,60,여유,1,0,0,4,3,3,5,4,4,1,0
48,3,2,3,1.06,49,여유,0,0,0,1,2,4,4,4,3,2,0
38,12,2,8,0.9,58,여유,0,1,0,3,2,2,2,5,4,2,0
49,3,1,5,1.46,44,혼잡,0,0,0,3,5,4,5,5,4,4,1
23,12,1,3,0.8,33,보통,0,0,0,5,3,3,3,5,5,4,0
22,6,2,2,1.75,93,보통,0,0,0,4,4,2,3,5,3,4,0
42,6,2,1,0.95,55,보통,0,0,0,4,3,3,3,1,3,3,0
38,12,3,2,0.14,84,보통,0,0,0,4,4,3,1,5,5,4,0
26,6,3,17,1.38,46,보통,1,0,0,4,4,3,4,4,5,2,0
29,3,2,17,0.36,31,여유,0,0,0,3,2,2,3,4,4,2,0
35,6,4,13,0.18,89,여유,1,1,0,3,3,3,3,4,4,2,0
28,6,0,2,0.66,73,매우혼잡,0,0,0,5,4,4,2,4,3,3,1
21,6,3,17,0.43,37,여유,0,0,0,3,2,1,1,4,4,3,0
48,12,0,8,1.62,40,혼잡,0,0,0,1,4,1,1,3,2,1,0
24,12,4,1,1.05,79,여유,0,0,0,3,1,1,2,4,3,4,0
37,6,0,3,1.08,27,보통,0,0,0,1,3,2,1,4,4,2,1
20,3,1,6,0.75,82,여유,0,0,0,2,2,2,2,4,4,3,0
31,1,3,7,0.53,76,매우혼잡,0,1,0,4,5,5,4,4,4,4,0
27,3,2,8,0.72,39,여유,0,0,0,4,3,3,4,4,4,5,1
31,12,1,10,1.37,28,혼잡,0,0,0,4,3,5,5,4,5,4,1
37,1,1,12,1.46,57,여유,0,0,0,1,4,1,1,2,3,1,0
49,12,1,10,1.48,48,혼잡,0,0,0,4,5,3,2,3,4,4,1
39,6,0,13,0.84,82,매우혼잡,0,0,0,3,4,4,1,4,4,2,0
33,6,2,19,0.96,76,보통,0,0,0,3,3,2,2,3,1,1,1
44,12,3,3,0.87,103,혼잡,0,0,0,4,4,4,4,5,4,4,0
53,3,1,2,4.79,69,여유,0,0,0,2,4,1,1,4,4,4,1
54,1,2,17,0.74,67,보통,0,1,0,3,3,3,3,4,5,2,0
45,3,4,12,1.77,67,보통,0,0,0,4,4,4,4,4,5,4,0
27,12,1,2,2.14,50,보통,0,1,0,2,4,4,4,3,4,2,0
30,6,1,20,1.93,70,매우혼잡,1,0,0,4,3,3,3,1,2,2,0
46,6,3,18,0.59,137,보통,0,0,0,4,4,3,5,4,4,2,0
24,12,2,8,0.27,56,보통,0,0,0,3,3,4,4,4,3,3,0
48,6,1,18,1.79,97,매우혼잡,0,0,0,4,4,3,3,2,3,2,1
24,6,2,8,1.1,138,보통,1,0,0,5,3,3,3,4,3,3,1
60,12,1,2,2.28,74,보통,0,0,0,4,3,3,4,1,3,2,0
43,6,2,24,1.06,18,여유,0,0,0,4,4,2,1,4,4,2,0
48,6,3,12,0.1,37,혼잡,0,0,0,4,5,4,5,4,5,5,0
56,6,0,11,5.72,82,보통,0,0,1,3,3,3,2,2,1,2,1
44,3,1,35,1.12,90,보통,1,0,1,4,4,4,3,4,5,3,0
45,12,4,29,0.47,21,보통,0,1,0,4,3,2,3,3,3,3,0
70,1,3,35,0.93,118,보통,0,0,0,2,3,2,4,4,4,4,0
37,3,2,3,0.19,71,보통,0,1,0,2,3,4,5,5,5,2,1
26,3,3,3,0.57,71,혼잡,0,0,0,3,4,4,3,4,2,2,0
49,12,1,2,1.75,94,보통,0,0,0,4,3,2,2,3,2,4,0
31,6,3,12,0.33,48,여유,0,0,0,2,1,3,1,2,4,4,0
27,3,1,11,0.3,19,보통,0,0,0,4,5,3,4,5,4,4,0
24,3,2,5,0.53,39,보통,0,0,0,4,2,4,4,5,5,3,0
51,1,3,7,0.5,88,여유,0,0,0,2,1,1,1,1,1,1,0
27,1,1,4,2.85,78,보통,0,0,0,4,3,3,1,4,4,3,1
67,3,1,12,1.33,51,보통,0,0,1,3,4,3,4,3,4,5,1
35,6,0,3,7.38,60,혼잡,0,0,1,5,5,4,5,4,4,5,1
41,3,3,11,0.43,72,혼잡,1,0,0,5,4,2,5,4,4,2,0
58,12,1,24,1.43,64,보통,0,1,0,2,4,4,4,4,3,4,0
37,3,1,5,5.3,25,혼잡,0,0,0,1,4,3,1,4,4,4,1
44,12,2,27,2.08,97,여유,0,0,0,4,5,3,5,5,4,5,1
26,12,1,19,3.82,32,혼잡,0,0,0,5,4,5,5,5,4,5,1
46,3,3,2,0.4,114,보통,0,1,0,5,4,3,5,3,3,4,0
52,3,0,2,3.42,40,보통,0,0,0,4,3,4,4,4,5,4,1
29,12,2,23,2.04,40,보통,0,0,0,3,4,4,4,4,5,3,1
48,12,2,4,0.6,110,보통,1,0,0,5,3,1,4,3,3,2,1
42,6,1,6,1.79,33,여유,0,0,0,3,3,2,3,3,4,4,0
30,3,3,6,0.9,118,혼잡,0,0,0,3,4,3,2,4,2,3,0
61,1,0,2,1.35,45,보통,0,0,1,4,4,2,4,2,4,4,1
41,12,2,12,0.15,67,보통,0,0,0,2,3,3,3,4,4,1,0
40,3,4,2,0.57,65,여유,0,0,0,1,2,1,4,2,2,1,0
25,3,2,37,1.98,37,혼잡,0,0,0,5,5,3,4,5,5,3,0
20,3,2,16,0.42,80,보통,0,1,0,2,3,4,3,3,1,4,0
52,6,3,25,0.85,64,보통,0,1,0,3,4,2,4,3,3,4,0
44,6,2,9,0.87,49,보통,1,0,0,3,4,4,4,4,4,2,0
33,12,3,21,0.26,47,보통,1,0,0,2,3,3,2,2,3,1,0
21,1,3,13,0.96,34,보통,0,0,0,3,5,5,3,5,5,5,0
56,6,1,13,1.34,69,보통,0,0,0,5,4,4,4,3,3,3,0
51,12,3,10,1.2,119,보통,0,1,0,4,3,3,1,4,3,5,0
24,12,0,8,6.02,53,혼잡,0,0,0,2,3,2,1,1,1,3,1
43,3,3,21,1.06,73,보통,1,0,0,3,3,4,3,3,2,1,0
56,6,2,4,1.33,52,여유,0,0,0,3,4,2,2,4,4,5,0
37,12,0,7,7.87,87,매우혼잡,0,0,0,5,3,4,3,4,4,3,1
22,12,2,3,1.57,99,혼잡,0,0,0,5,4,3,5,5,4,3,0
35,12,2,31,0.98,84,혼잡,0,0,0,1,1,3,3,2,2,4,0
22,12,2,8,0.64,63,여유,1,0,1,3,4,2,3,3,4,3,1
27,1,2,4,5.1,64,매우혼잡,0,0,0,4,4,5,4,5,5,5,1
36,3,6,8,0.13,54,매우혼잡,1,1,0,4,5,3,4,4,2,4,0
33,12,3,39,0.5,54,보통,1,0,0,4,4,1,1,5,4,2,0
35,12,2,16,0.4,39,보통,0,0,0,4,4,4,4,4,3,3,1
61,1,2,4,0.79,70,보통,0,0,0,4,4,2,2,4,4,2,0
31,12,1,3,1.0,93,보통,1,0,0,4,4,4,5,3,4,3,0
21,3,3,22,0.33,68,여유,0,1,0,1,3,1,1,4,2,2,0
40,12,3,28,0.33,99,여유,1,0,0,2,5,3,2,4,4,4,0
36,1,2,17,0.95,33,여유,0,1,1,4,4,3,3,4,3,2,0
43,6,2,18,1.1,72,혼잡,0,0,0,4,4,3,3,3,3,2,1
61,12,4,22,1.41,71,매우혼잡,0,1,0,5,5,5,5,4,4,3,1
45,6,2,5,0.68,145,보통,0,0,0,4,4,4,3,4,4,3,0
25,1,0,14,2.26,78,보통,0,0,0,4,4,4,3,2,2,4,1
49,1,0,3,1.24,42,여유,0,0,0,1,3,3,2,4,4,3,0
29,6,4,7,0.94,89,보통,1,1,0,3,3,3,4,2,4,3,0
22,12,4,37,0.83,118,보통,0,0,0,3,2,3,4,1,2,4,0
24,12,3,5,0.83,111,혼잡,1,0,0,3,4,4,4,4,3,1,0
53,6,2,26,0.82,32,혼잡,0,0,0,5,3,3,4,3,3,5,0
30,3,3,1,0.82,65,여유,1,0,0,2,1,1,3,1,1,1,0
66,1,3,8,1.25,53,혼잡,0,1,0,3,4,4,3,4,3,4,0
45,6,2,6,1.03,80,매우혼잡,1,1,1,5,5,5,4,4,3,4,0
35,6,2,22,1.28,59,여유,1,1,0,3,3,4,4,4,4,3,0
28,3,2,7,1.02,22,보통,0,0,0,4,2,1,2,4,5,3,1
21,12,2,7,1.12,77,여유,0,0,0,2,2,1,1,2,1,2,0
36,6,0,6,1.53,53,여유,0,0,0,3,3,1,1,2,3,2,0
48,12,2,3,0.94,70,보통,1,0,0,4,4,3,2,3,2,1,0
26,6,0,10,2.05,33,보통,0,0,0,4,3,4,2,3,4,5,1
46,3,2,1,0.27,70,여유,0,0,0,4,4,4,4,4,5,3,0
70,12,3,23,0.99,127,혼잡,0,1,0,4,3,4,3,4,3,5,0
68,6,2,13,0.76,96,보통,0,1,0,3,2,4,5,4,5,2,0
41,6,1,6,2.18,58,여유,0,0,0,5,4,1,4,5,3,3,0
58,6,3,3,1.0,25,보통,0,1,0,4,4,4,5,5,5,4,0
39,12,2,2,0.66,55,보통,1,0,0,4,4,4,4,5,5,2,0
40,12,5,10,0.52,100,여유,1,0,0,4,4,2,4,4,4,4,0
27,3,2,5,0.34,39,혼잡,0,0,0,4,5,4,5,4,4,2,0
55,12,2,21,0.71,63,보통,0,0,0,3,5,4,3,5,4,2,0
57,1,0,18,1.71,40,혼잡,0,0,1,4,2,4,4,5,5,1,0
46,6,3,21,0.91,83,보통,0,0,0,3,4,2,3,5,4,3,0
43,12,5,5,0.33,65,여유,0,1,0,3,3,4,4,4,3,5,0
56,6,6,4,0.64,97,혼잡,0,1,0,3,4,3,3,3,1,4,0
60,1,1,12,1.11,65,여유,0,0,0,5,4,2,4,5,5,5,0
28,3,2,6,0.5,54,혼잡,0,0,0,5,4,4,4,2,4,3,0
63,12,2,33,0.99,86,혼잡,1,0,0,5,3,4,4,4,4,4,0
35,3,0,6,1.12,18,보통,0,0,0,1,1,5,3,4,3,3,0
28,3,3,9,0.55,41,보통,0,1,1,4,4,3,2,3,4,3,0
27,12,2,2,0.54,62,여유,0,0,0,3,3,3,3,4,4,4,0
35,3,2,4,0.58,87,보통,0,0,0,4,4,4,4,5,5,4,0
42,3,2,4,1.19,148,보통,1,0,0,5,3,3,2,3,1,4,0
70,6,2,3,1.76,45,혼잡,0,0,0,5,4,4,4,2,3,1,0
31,6,3,11,0.87,70,혼잡,1,1,0,4,4,3,4,4,4,1,0
25,1,3,7,0.19,78,여유,0,1,0,1,2,2,4,3,2,4,0
32,6,3,2,0.62,33,여유,0,1,0,2,3,2,4,1,1,3,0
36,1,3,11,0.65,52,보통,1,0,0,3,5,3,4,5,4,3,0
32,12,2,16,1.15,67,여유,0,1,0,2,4,3,4,4,4,4,0
22,12,2,8,2.42,67,여유,0,1,0,1,3,1,1,3,3,1,1
23,12,2,4,1.13,35,혼잡,0,1,0,3,4,5,4,4,4,3,0
30,12,0,2,2.1,31,보통,0,0,0,5,4,4,4,4,4,4,0
33,3,1,2,0.66,17,여유,0,0,0,4,3,3,4,5,3,3,1
20,1,6,2,0.12,62,여유,1,1,0,1,1,1,1,2,2,2,0
43,6,2,3,1.44,64,혼잡,0,0,0,3,3,4,4,4,4,3,1
60,6,3,12,1.45,74,보통,0,1,0,3,5,1,2,3,3,5,0
36,12,1,8,0.34,38,혼잡,0,0,0,5,4,3,4,3,3,2,1
28,3,0,1,1.67,64,매우혼잡,0,0,0,4,5,5,4,4,4,2,1
26,12,1,2,1.47,95,여유,0,0,0,2,4,2,4,3,3,1,0
41,1,3,13,1.85,119,보통,1,1,0,4,4,3,4,5,5,4,1
64,3,3,10,0.59,81,보통,0,0,0,2,3,4,3,4,2,2,0
48,6,3,5,0.78,142,보통,0,0,0,3,4,2,1,3,3,2,0
35,3,2,19,0.85,74,보통,0,0,0,4,4,3,4,5,4,3,0
40,12,3,4,0.76,68,여유,0,0,0,4,1,1,1,3,3,2,0
58,6,3,13,0.49,105,보통,0,0,0,4,5,3,3,3,4,2,0
47,12,3,17,0.55,87,보통,0,1,0,4,1,4,5,4,4,4,0
28,12,3,4,0.52,107,혼잡,0,0,0,4,3,4,4,4,4,3,1
34,6,1,17,0.97,61,보통,0,0,0,4,2,3,3,5,5,3,0
63,3,0,9,7.73,45,여유,0,1,1,2,2,2,2,4,4,3,1
22,1,0,8,0.87,42,보통,0,0,0,4,4,4,4,4,3,3,0
44,12,3,1,0.55,110,보통,0,1,0,4,4,3,3,5,5,4,0
47,12,1,23,0.94,58,여유,0,0,0,1,3,4,4,4,4,5,0
59,3,2,10,1.25,77,보통,0,1,1,4,5,3,5,5,5,3,0
28,12,3,11,2.04,51,혼잡,1,1,0,5,5,4,4,5,4,4,0
38,12,1,2,0.97,63,보통,0,0,0,5,3,3,4,2,2,4,0
20,6,4,25,0.38,80,혼잡,0,1,0,3,3,4,4,3,2,2,0
44,6,5,19,0.22,108,보통,1,0,0,1,4,2,2,5,3,1,0
35,12,3,6,0.26,44,혼잡,0,1,0,3,5,4,3,5,4,2,0
37,12,2,11,2.94,76,여유,0,0,0,3,3,1,3,3,3,5,1
27,6,2,2,0.97,43,보통,0,1,0,1,5,2,4,4,4,1,0
40,1,1,8,1.01,19,혼잡,0,0,0,4,3,2,3,3,3,1,0
39,12,0,2,1.27,75,보통,0,1,0,4,3,3,1,4,4,3,1
35,3,3,2,0.48,43,매우혼잡,0,0,0,4,4,3,5,4,4,1,0
50,6,2,7,1.43,27,매우혼잡,0,1,0,3,3,4,4,3,2,1,1
37,6,1,4,2.5,60,혼잡,0,0,0,2,5,4,4,3,3,2,0
61,3,2,16,1.46,105,혼잡,0,0,0,4,4,2,3,2,2,1,0
47,1,3,37,1.13,53,혼잡,0,0,0,1,4,3,3,1,2,2,0
63,6,2,5,0.84,33,보통,0,1,0,3,3,4,4,4,4,2,0
56,6,3,11,0.61,145,여유,1,0,1,4,3,3,4,4,4,4,0
41,12,2,12,1.04,65,여유,1,0,0,3,5,2,2,3,3,1,1
30,1,0,6,1.98,18,혼잡,0,0,0,5,5,3,3,4,4,4,1
61,12,1,10,2.16,81,보통,0,0,0,4,4,3,4,3,3,3,1
27,6,4,21,0.52,137,여유,1,0,0,3,1,3,4,4,2,2,0
47,3,2,1,1.8,76,여유,1,0,0,3,5,4,4,5,5,3,1
49,3,1,11,1.15,70,보통,0,0,0,4,4,5,4,5,5,5,1
25,1,0,3,7.0,35,혼잡,0,1,0,4,4,5,3,4,5,5,1
41,6,2,17,1.48,50,보통,1,1,0,4,4,4,4,4,3,4,1
23,12,1,6,4.82,50,보통,0,1,0,2,5,4,2,4,4,5,1
67,12,3,8,1.16,50,여유,0,0,0,1,4,1,1,2,2,2,0
64,3,1,22,1.19,54,여유,0,0,0,3,2,4,4,3,4,3,1
26,3,2,4,0.55,30,여유,0,0,1,4,4,4,5,4,2,3,0
47,3,2,12,1.52,78,혼잡,0,0,0,4,3,3,3,3,1,1,0
34,1,1,20,1.34,63,여유,0,0,0,3,4,3,4,4,2,4,1
50,3,3,16,0.58,46,보통,0,0,0,2,3,5,5,4,4,3,1
16,12,1,3,1.18,61,혼잡,0,0,0,4,3,4,5,1,2,3,1
27,6,3,18,0.57,64,보통,0,0,0,4,4,2,2,1,3,3,0
46,3,0,31,1.26,49,혼잡,0,0,0,5,4,5,5,5,4,5,1
21,3,4,10,0.1,67,보통,0,1,0,2,3,3,3,4,3,3,0
38,12,0,2,2.02,112,혼잡,0,0,0,4,5,3,4,4,4,3,1
38,1,3,9,1.17,57,여유,1,0,0,3,3,2,3,4,4,1,0
67,3,2,21,0.45,46,여유,1,0,0,2,3,2,4,1,1,1,1
24,3,1,1,0.97,19,여유,0,0,0,2,1,1,2,4,4,2,0
27,12,2,5,0.84,130,여유,0,1,0,2,2,2,1,4,4,3,0
26,12,2,3,0.78,136,보통,0,0,0,2,2,3,4,4,4,1,0
29,1,2,4,0.72,81,보통,0,1,0,4,4,1,2,3,2,3,0
48,6,4,16,0.33,28,보통,0,1,1,4,4,2,3,4,3,3,0
43,12,0,22,1.46,19,보통,0,1,0,4,4,2,1,4,5,3,0
64,6,4,24,0.26,128,보통,0,0,0,1,4,3,3,3,2,1,0
35,6,5,33,0.38,81,혼잡,1,0,0,1,4,5,4,2,3,2,0
28,12,3,10,0.52,51,보통,0,0,0,4,3,2,4,1,1,2,0
40,12,3,24,0.45,83,보통,0,1,0,4,4,4,3,5,3,4,0
29,6,1,10,2.2,48,혼잡,0,0,0,4,3,4,4,2,1,3,0
26,3,2,15,0.35,32,혼잡,0,0,0,3,3,5,3,4,4,1,0
31,3,0,4,4.27,60,여유,0,0,1,3,4,1,3,3,1,2,1
37,3,1,10,0.53,17,혼잡,0,0,0,5,4,4,5,4,4,3,1
33,6,1,8,1.13,35,혼잡,0,0,0,4,1,4,3,5,4,3,1
68,6,2,31,1.04,71,보통,0,0,0,3,4,3,4,5,3,2,0
21,6,5,12,0.4,47,보통,1,1,0,5,3,2,3,5,5,3,0
38,3,1,16,1.1,46,혼잡,0,0,0,4,5,4,5,4,4,4,1
40,6,0,5,1.67,38,매우혼잡,0,1,0,4,3,4,4,2,2,2,1
45,6,3,6,0.96,66,여유,0,1,0,2,4,1,2,3,4,3,0
38,12,4,20,0.21,57,보통,0,0,0,1,5,3,3,3,1,1,0
57,3,6,27,0.21,74,여유,1,1,1,4,1,1,2,3,3,5,0
24,3,2,12,0.83,68,여유,0,0,0,4,4,3,4,3,3,4,1
41,12,1,3,0.65,25,보통,0,0,0,1,4,4,3,3,4,2,1
27,1,4,20,0.7,105,여유,1,1,0,3,3,1,3,4,4,1,0
29,6,5,6,0.22,61,보통,0,1,0,2,4,4,5,4,5,4,0
43,12,1,7,4.06,110,매우혼잡,1,0,0,3,2,4,4,4,4,3,1
25,6,2,2,0.28,85,여유,0,1,0,4,2,1,2,3,2,4,0
21,6,3,2,1.24,80,보통,0,0,0,5,4,3,4,5,5,5,1
27,3,2,12,1.13,42,여유,0,1,1,5,3,2,5,5,4,2,0
46,12,2,9,1.63,85,매우혼잡,0,0,0,2,3,3,3,4,5,2,0
47,12,3,15,0.87,79,매우혼잡,1,0,0,5,4,5,5,4,4,1,0
36,6,1,2,3.2,76,보통,0,0,0,3,3,4,1,4,3,3,1
30,12,2,34,0.71,70,매우혼잡,0,1,0,5,5,5,4,4,4,5,1
37,1,2,6,1.72,99,보통,0,0,0,4,2,2,2,3,5,2,0
20,12,1,6,1.83,68,혼잡,0,1,0,5,2,4,4,5,3,3,1
24,12,3,14,1.33,54,혼잡,1,0,0,5,4,3,4,2,3,2,1
50,12,1,4,1.3,87,매우혼잡,0,0,0,5,4,4,3,4,4,4,0
37,1,0,12,1.5,82,보통,0,0,0,3,3,2,4,2,2,4,1
19,6,4,12,0.8,92,보통,0,0,0,4,4,4,4,5,5,4,0
46,1,1,11,0.64,37,혼잡,0,0,0,3,4,5,5,5,5,2,0
